"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0"," 0.014"," 0.000"," 0.016"," 0.984","-0.019","3332","32.1","1","CR_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","1","0"," 0.009"," 0.000"," 0.010"," 0.990","-0.047","3518","37.38","1","SBR_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0"," 0.011"," 0.000"," 0.013"," 0.987"," 0.052","3396","83.67","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CR","0","0"," 0.001"," 0.000"," 0.001"," 0.999"," 0.009","3401","26.31","1","CR_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","0","0"," 0.000"," 0.000"," 0.000"," 1.000","-0.022","3536","31.05","1","SBR_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0"," 0.001"," 0.000"," 0.001"," 0.999"," 0.000","3430","77.89","1","CAA-MI-2-PBA-0.70_REG_UN",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","1"," 0.087"," 0.075"," 0.000"," 1.000"," 0.141","5010","78689.21","1","CAA-MI-2-PBA-0.70_RERAND_ADJ",32,"binary",0.1,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.028, 0.000, 0.037, 0.963, 0.016,5005,25.25,2,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.031, 0.000, 0.042, 0.958,-0.005,5006,32.15,2,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.028, 0.000, 0.036, 0.964,-0.006,5009,76.73,2,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.029, 0.000, 0.046, 0.954, 0.017,5005,23.72,2,CR_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.026, 0.000, 0.052, 0.948,-0.006,5009,29.39,2,SBR_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.025, 0.000, 0.044, 0.956,-0.003,5010,73.42,2,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.049, 0.057, 0.000, 1.000,-0.010,5010,75794.33,2,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.021, 0.000, 0.024, 0.976, 0.007,3551,29.57,3,CR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.023, 0.000, 0.028, 0.972, 0.041,3738,36.43,3,SBR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.025, 0.000, 0.029, 0.971, 0.039,3673,83.75,3,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
CR,0,0, 0.001, 0.000, 0.002, 0.998, 0.000,3784,25.32,3,CR_REG_UN,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.000, 0.000, 0.001, 0.999,-0.007,3845,30.92,3,SBR_REG_UN,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.001, 0.000, 0.002, 0.998, 0.008,3836,78.04,3,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.071, 0.071, 0.000, 1.000, 0.122,5010,79595.47,3,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.25,0,0,0.05,3,1,1,0.5
CR,1,0, 0.019, 0.000, 0.027, 0.973, 0.015,4986,26.2,4,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.022, 0.000, 0.033, 0.967, 0.000,4999,31.62,4,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.025, 0.000, 0.035, 0.965,-0.005,4998,80.4,4,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
CR,0,0, 0.023, 0.000, 0.040, 0.960, 0.015,5008,23.03,4,CR_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.017, 0.000, 0.041, 0.959, 0.004,5010,29.17,4,SBR_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.022, 0.000, 0.043, 0.957,-0.003,5009,76.43,4,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.050, 0.056, 0.000, 1.000,-0.004,5010,76411.51,4,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.25,0,0,0.05,3,1,1,0.5
CR,1,0, 0.013, 0.000, 0.018, 0.982,-0.017,3356,30.3,5,CR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.011, 0.000, 0.013, 0.987,-0.009,3494,36.67,5,SBR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.007, 0.000, 0.011, 0.989,-0.046,3434,83.53,5,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.001, 0.000, 0.002, 0.998, 0.014,3380,25.45,5,CR_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.000, 0.000, 0.001, 0.999,-0.018,3492,31.92,5,SBR_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.000, 0.000, 0.003, 0.997,-0.011,3456,78.27,5,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.083, 0.078, 0.000, 1.000, 0.119,5010,79512.52,5,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.026, 0.000, 0.036, 0.964,-0.020,5001,26.25,6,CR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
SBR,1,0, 0.026, 0.000, 0.036, 0.964,-0.005,5008,30.88,6,SBR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.026, 0.000, 0.037, 0.963, 0.012,5008,76.14,6,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CR,0,0, 0.029, 0.000, 0.045, 0.955,-0.016,5007,23.14,6,CR_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
SBR,0,0, 0.025, 0.000, 0.046, 0.954,-0.007,5008,29.12,6,SBR_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.025, 0.000, 0.047, 0.953, 0.009,5009,73.74,6,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.052, 0.062, 0.000, 1.000, 0.012,5010,75293.12,6,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.024, 0.000, 0.029, 0.971, 0.044,3681,31.29,7,CR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.028, 0.000, 0.033, 0.967,-0.002,3944,36.7,7,SBR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.026, 0.000, 0.033, 0.967,-0.034,3840,83.71,7,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
CR,0,0, 0.002, 0.000, 0.003, 0.997, 0.005,3758,25.54,7,CR_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.001, 0.000, 0.002, 0.998,-0.012,3961,31,7,SBR_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.001, 0.000, 0.003, 0.997, 0.009,3879,77.14,7,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.077, 0.070, 0.000, 1.000,-0.044,5010,78509.08,7,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.5,0,0,0.05,3,1,1,0.5
CR,1,0, 0.022, 0.000, 0.031, 0.969,-0.013,4971,26.17,8,CR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.028, 0.000, 0.036, 0.964,-0.019,5001,31.81,8,SBR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.024, 0.000, 0.031, 0.969,-0.003,4989,78.38,8,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
CR,0,0, 0.025, 0.000, 0.044, 0.956,-0.021,5006,23.3,8,CR_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
SBR,0,0, 0.016, 0.000, 0.032, 0.968,-0.011,5010,29.34,8,SBR_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.019, 0.000, 0.035, 0.965,-0.002,5010,75.45,8,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.050, 0.059, 0.000, 1.000,-0.007,5010,74990.12,8,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.5,0,0,0.05,3,1,1,0.5
CR,1,0, 0.014, 0.000, 0.016, 0.983,-0.042,3313,31.85,9,CR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.009, 0.000, 0.011, 0.989,-0.098,3518,37.41,9,SBR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.012, 0.000, 0.014, 0.986, 0.016,3410,84.47,9,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0, 0.001, 0.000, 0.001, 0.999,-0.042,3387,25.5,9,CR_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.000, 0.000, 0.000, 1.000,-0.066,3536,31.52,9,SBR_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.000, 0.000, 0.001, 0.999,-0.050,3438,78.6,9,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.088, 0.077, 0.000, 0.968, 0.740,5010,79239.63,9,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0,0.025,0.000,0.033,0.965,0.029,5002,26.2,10,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0,0.027,0.000,0.038,0.966,0.015,5009,31.51,10,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.033,0.000,0.043,0.959,0.021,5009,78.73,10,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0,0.027,0.000,0.042,0.964,0.021,5008,23.64,10,CR_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0,0.022,0.000,0.046,0.968,0.008,5010,28.93,10,SBR_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.029,0.000,0.053,0.961,0.012,5010,76.17,10,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1,0.060,0.063,0.000,1.000,0.017,5010,75501.15,10,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.022, 0.000, 0.026, 0.975, 0.009,3556,30.71,11,CR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.023, 0.000, 0.028, 0.972, 0.049,3702,36.46,11,SBR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.028, 0.000, 0.030, 0.970, 0.069,3669,82.26,11,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.001, 0.000, 0.002, 0.998,-0.031,3784,25.39,11,CR_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.001, 0.000, 0.002, 0.999,-0.043,3821,31.28,11,SBR_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.001, 0.000, 0.002, 0.999,-0.023,3819,76.71,11,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.071, 0.070, 0.000, 0.982, 0.679,5010,78340.75,11,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.023, 0.000, 0.031, 0.969, 0.031,4989,27.34,12,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.024, 0.000, 0.036, 0.966, 0.018,5000,32.57,12,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.026, 0.000, 0.037, 0.965, 0.012,4999,80.11,12,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.025, 0.000, 0.041, 0.967, 0.015,5009,22.94,12,CR_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.017, 0.000, 0.042, 0.971, 0.003,5010,28.96,12,SBR_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.022, 0.000, 0.045, 0.967,-0.005,5009,76.56,12,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.054, 0.059, 0.000, 1.000, 0.023,5010,76811.08,12,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.25,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.014, 0.000, 0.018, 0.982,-0.021,3349,30.71,13,CR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.009, 0.000, 0.012, 0.988,-0.044,3494,35.83,13,SBR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.006, 0.000, 0.010, 0.989,-0.074,3437,84.39,13,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0, 0.001, 0.000, 0.002, 0.999,-0.033,3369,25.83,13,CR_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.001, 0.000, 0.001, 0.999,-0.057,3494,31.48,13,SBR_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.000, 0.000, 0.002, 0.999,-0.056,3459,79.98,13,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.086, 0.079, 0.000, 0.967, 0.640,5010,78195.24,13,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.029, 0.000, 0.041, 0.963, 0.003,5004,26.04,14,CR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,1,0, 0.024, 0.000, 0.036, 0.969, 0.009,5009,31.21,14,SBR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.024, 0.000, 0.035, 0.969, 0.021,5007,78.46,14,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,0,0, 0.030, 0.000, 0.050, 0.960,-0.003,5008,23.51,14,CR_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
SBR,0,0, 0.023, 0.000, 0.048, 0.968, 0.001,5009,29.18,14,SBR_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.023, 0.000, 0.049, 0.968, 0.010,5009,76.33,14,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.053, 0.064, 0.000, 1.000, 0.025,5010,75187.79,14,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,1.1,1.1,1,0.5
CR,1,0, 0.025, 0.000, 0.030, 0.969, 0.051,3700,31.24,15,CR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.027, 0.000, 0.032, 0.968,-0.036,3943,36.6,15,SBR_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.028, 0.000, 0.033, 0.966,-0.013,3859,84.88,15,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.002, 0.000, 0.003, 0.996,-0.033,3773,25.62,15,CR_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.001, 0.000, 0.002, 0.999,-0.045,3958,30.73,15,SBR_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.001, 0.000, 0.003, 0.998,-0.030,3897,78.91,15,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.079, 0.071, 0.000, 0.983, 0.429,5010,78532.79,15,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.027, 0.000, 0.037, 0.967, 0.001,4970,26.74,16,CR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,1,0, 0.028, 0.000, 0.034, 0.966, 0.002,4990,31.29,16,SBR_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.028, 0.000, 0.039, 0.962, 0.002,4996,79.3,16,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,0,0, 0.031, 0.000, 0.048, 0.960,-0.023,5007,23.6,16,CR_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
SBR,0,0, 0.018, 0.000, 0.038, 0.975,-0.014,5010,29.44,16,SBR_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.022, 0.000, 0.047, 0.968,-0.011,5010,76.99,16,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.056, 0.061, 0.000, 1.000, 0.037,5010,75406.98,16,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.5,0,0.0953101798043249,0.05,3,1.1,1,0.5
CR,1,0, 0.025, 0.000, 0.031, 0.928,-0.175,2943,31.07,17,CR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0, 0.020, 0.000, 0.024, 0.938,-0.276,3099,37.28,17,SBR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.021, 0.000, 0.027, 0.929,-0.243,3045,84.05,17,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0, 0.007, 0.000, 0.012, 0.947,-0.465,3007,26.48,17,CR_REG_UN,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0, 0.005, 0.000, 0.009, 0.954,-0.484,3120,32.01,17,SBR_REG_UN,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0, 0.005, 0.000, 0.009, 0.948,-0.472,3061,78.4,17,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,1, 0.096, 0.147, 0.000, 0.977, 5.943,5010,78379.49,17,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0,0.211,0.000,0.250,0.966,0.160,4969,26.08,18,CR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,1,0,0.233,0.000,0.270,0.966,0.173,4986,31.86,18,SBR_REG_ADJ,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,0,0.223,0.000,0.263,0.967,0.164,4986,79.59,18,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,0,0,0.231,0.000,0.296,0.962,0.071,4994,23.36,18,CR_REG_UN,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
SBR,0,0,0.230,0.000,0.323,0.961,0.080,5005,28.96,18,SBR_REG_UN,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,0,0,0.219,0.000,0.317,0.962,0.069,5004,76.89,18,CAA-MI-2-PBA-0.70_REG_UN,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CAA-MI-2-PBA-0.70,1,1,0.308,0.326,0.000,0.997,0.283,5010,75503.12,18,CAA-MI-2-PBA-0.70_RERAND_ADJ,32,binary,0.5,2,binary,0.25,0,1.09861228866811,0.05,1.1,3,1,0.5
CR,1,0, 0.039, 0.000, 0.050, 0.950, 0.008,3105,30.72,19,CR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,3,3,1,0.5
SBR,1,0, 0.038, 0.000, 0.047, 0.938, 0.058,3312,36.51,19,SBR_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,3,3,1,0.5
CAA-MI-2-PBA-0.70,1,0, 0.040, 0.000, 0.049, 0.934,-0.037,3256,82.77,19,CAA-MI-2-PBA-0.70_REG_ADJ,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,3,3,1,0.5
CR,0,0, 0.010, 0.000, 0.016, 0.969,-0.408,3358,25.9,19,CR_REG_UN,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,3,3,1,0.5
SBR,0,0, 0.006, 0.000, 0.010, 0.964,-0.447,3422,31.51,19,SBR_REG_UN,32,binary,0.1,2,binary,0.25,0,1.09861228866811,0.05,3,3,1,0.5
